;This file is a mapping of offical host names to nicknames.
;The ADDNIC program is used to insert these in HOSTS.TXT.
;
;SRI hosts
SRI-NIC.ARPA		SRI-NIC,NIC
CSL.SRI.COM		CSL
F4.CSL.SRI.COM		F4
CRVAX.SRI.COM		CRVAX
GIZMO.SRI.COM		GIZMO
B.CSL.SRI.COM		CSLB
KL.SRI.COM		KL
STRIPE.SRI.COM		STRIPE
SPAM.ISTC.SRI.COM	SPAM
TSCA.ISTC.SRI.COM	TSC,TSCA
SRI-NIXON.ARPA		NIXON
BLACKJACK.SRI.COM	BLACKJACK,BJ
SRI-ROBOTX.ARPA		ROBOTX
;
;randoms
CSLI.STANFORD.EDU	CSLI
SCORE.STANFORD.EDU	SCORE
SUMEX-AIM.STANFORD.EDU	SUMEX
SUSHI.STANFORD.EDU	SUSHI
SIERRA.STANFORD.EDU	SIERRA
AI.AI.MIT.EDU		AI
XX.LCS.MIT.EDU		XX
MC.LCS.MIT.EDU		MC
TE.CC.CMU.EDU		TE
CU20B.COLUMBIA.EDU	CU20B
CS.COLUMBIA.EDU		COLUMBIA
HPLABS.HP.COM		HPLABS
DDN1.ARPA               DDN1
GARNET.BERKELEY.EDU	GARNET
DEWEY.SOE.BERKELEY.EDU	DEWEY
